City,$CAD,$USD,Population,Latitude,Longitude
Toronto,12300000000,9669697291,2800000,43.7,-79.4
Dublin,1435581461,1128448857,527612,53.349722,-6.260278
Atlanta,825127960,648647258,472522,33.755,-84.39
Sydney,554702419,435924078,205339,-33.865,151.209444
Los Angeles,12385919117,9743830703,3976322,34.05,-118.25
Melbourne,588793828,460205041,136000,-37.813611,144.963056
Miami-Dade,9471718996,7404032000,2712945,25.766667,-80.2
Chicago,12805442650,10010000000,2704958,41.836944,-87.684722
Boston,4016892100,3140000000,673184,42.358056,-71.063611
San Francisco,12929403428,10106900000,870887,37.783333,-122.416667
Washington,17781783500,13900000000,681170,38.904722,-77.016389
Manchester,356458140,278796960,550000,53.466667,-2.233333
Dallas,4082912679,3194892351,1317929,32.775833,-96.796667
Houston,6645340000,5200000000,2303482,29.762778,-95.383056
Edinburgh,1628008560,1272884129,492680,55.953056,-3.188889
Auckland,3233872221,2529019890,1614400,-36.840556,174.74
Singapore ,68795585975,53802762391,5612300,1.3,103.8
